,country,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,vaccines,cumulative_total_cases,daily_new_cases,active_cases,cumulative_total_deaths,daily_new_deaths
531,Brazil,2021-02-06,3401383.0,3399421.0,1962.0,199739.0,"Oxford/AstraZeneca, Sinovac",9497795.0,48707.0,903049.0,231069.0,942.0
532,Brazil,2021-02-07,3553681.0,3534004.0,19677.0,211375.0,"Oxford/AstraZeneca, Sinovac",9524640.0,26845.0,895892.0,231561.0,492.0
533,Brazil,2021-02-08,3605538.0,3579850.0,25688.0,211604.0,"Oxford/AstraZeneca, Sinovac",9550301.0,25661.0,870408.0,232248.0,687.0
534,Brazil,2021-02-09,3820207.0,3786591.0,33616.0,218237.0,"Oxford/AstraZeneca, Sinovac",9602034.0,51733.0,844984.0,233588.0,1340.0
535,Brazil,2021-02-10,4120332.0,4069677.0,50655.0,228375.0,"Oxford/AstraZeneca, Sinovac",9662305.0,60271.0,831230.0,234945.0,1357.0
536,Brazil,2021-02-11,4406835.0,4326075.0,80760.0,190540.0,"Oxford/AstraZeneca, Sinovac",9716298.0,53993.0,836208.0,236397.0,1452.0
537,Brazil,2021-02-12,4696136.0,4586270.0,109866.0,231604.0,"Oxford/AstraZeneca, Sinovac",9765694.0,49396.0,849766.0,237601.0,1204.0
538,Brazil,2021-02-13,5125206.0,4946738.0,178468.0,246260.0,"Oxford/AstraZeneca, Sinovac",9811255.0,45561.0,861768.0,238647.0,1046.0
539,Brazil,2021-02-14,5236943.0,5042713.0,194230.0,240466.0,"Oxford/AstraZeneca, Sinovac",9834513.0,23258.0,849795.0,239294.0,647.0
540,Brazil,2021-02-15,5293979.0,5076110.0,217869.0,241206.0,"Oxford/AstraZeneca, Sinovac",9866710.0,32197.0,821576.0,239895.0,601.0
541,Brazil,2021-02-16,5609937.0,5324317.0,285620.0,255676.0,"Oxford/AstraZeneca, Sinovac",9921981.0,55271.0,797807.0,240983.0,1088.0
542,Brazil,2021-02-17,5883539.0,5326007.0,557532.0,251887.0,"Oxford/AstraZeneca, Sinovac",9979276.0,57295.0,786648.0,242178.0,1195.0
543,Brazil,2021-02-18,6206680.0,5482925.0,723755.0,257121.0,"Oxford/AstraZeneca, Sinovac",10030626.0,51350.0,791770.0,243610.0,1432.0
544,Brazil,2021-02-19,6535156.0,5640483.0,894673.0,262717.0,"Oxford/AstraZeneca, Sinovac",10081693.0,51067.0,807579.0,244955.0,1345.0
545,Brazil,2021-02-20,6813168.0,5756361.0,1056807.0,241137.0,"Oxford/AstraZeneca, Sinovac",10139148.0,57455.0,825203.0,246006.0,1051.0
